spp	day	fung	rep	status
X	4	test	22	1
X	4	test	23	1
X	4	test	24	1
X	4	test	25	1
Y	4	test	1	1
Y	4	test	2	0
Y	4	test	3	1
Y	4	test	4	1
Y	4	test	5	1
Y	4	test	6	1
Y	4	test	7	1
Y	4	test	8	0
Y	4	test	9	1
Y	4	test	10	0
Y	4	test	11	0
Y	4	test	12	0
Y	4	test	13	1
Y	4	test	14	1
Y	4	test	15	0
Y	4	test	16	1
Y	4	test	17	1
Y	4	test	18	1
Y	4	test	19	1
Y	4	test	20	1
Y	4	test	21	0
Y	4	test	22	1
Y	4	test	23	1
Y	4	test	24	1
Y	4	test	25	1
X	4	A	1	1
X	4	A	2	1
X	4	A	3	1
X	4	A	4	1
X	4	A	5	0
X	4	A	6	0
X	4	A	7	1
X	4	A	8	1
X	4	A	9	1
X	4	A	10	1
X	4	A	11	0
X	4	A	12	0
X	4	A	13	0
X	4	A	14	1
X	4	A	15	0
X	4	A	16	0
X	4	A	17	0
X	4	A	18	0
X	4	A	19	0
X	4	A	20	1
X	4	A	21	0
X	4	A	22	0
X	4	A	23	0
X	4	A	24	0
X	4	A	25	0
Y	4	A	1	1
Y	4	A	2	1
Y	4	A	3	1
Y	4	A	4	1
Y	4	A	5	0
Y	4	A	6	1
Y	4	A	7	1
Y	4	A	8	0
Y	4	A	9	1
Y	4	A	10	1
Y	4	A	11	0
Y	4	A	12	0
Y	4	A	13	1
Y	4	A	14	1
Y	4	A	15	1
Y	4	A	16	1
Y	4	A	17	1
Y	4	A	18	1
Y	4	A	19	1
Y	4	A	20	1
Y	4	A	21	1
Y	4	A	22	1
Y	4	A	23	1
Y	4	A	24	1
Y	4	A	25	0
X	4	B	1	1
X	4	B	2	0
X	4	B	3	0
X	4	B	4	0
X	4	B	5	0
X	4	B	6	0
X	4	B	7	0
X	4	B	8	0
X	4	B	9	0
X	4	B	10	1
X	4	B	11	0
X	4	B	12	0
X	4	B	13	0
X	4	B	14	0
X	4	B	15	0
X	4	B	16	0
X	4	B	17	0
X	4	B	18	0
X	4	B	19	1
X	4	B	20	0
X	4	B	21	0
X	4	B	22	0
X	4	B	23	0
X	4	B	24	1
X	4	B	25	0
Y	4	B	1	1
Y	4	B	2	0
Y	4	B	3	1
Y	4	B	4	1
Y	4	B	5	0
Y	4	B	6	0
Y	4	B	7	0
Y	4	B	8	1
Y	4	B	9	1
Y	4	B	10	0
Y	4	B	11	0
Y	4	B	12	1
Y	4	B	13	1
Y	4	B	14	1
Y	4	B	15	0
Y	4	B	16	0
Y	4	B	17	1
Y	4	B	18	1
Y	4	B	19	1
Y	4	B	20	0
Y	4	B	21	1
Y	4	B	22	1
Y	4	B	23	0
Y	4	B	24	0
Y	4	B	25	0
X	4	C	1	0
