
iso	pop	rep	ss	fun	mw	dis
11H053	EX	1	1000	Bz	398.24	65.00
11H053	EX	1	100	Bz	398.24	40.20
11H053	EX	2	1000	Bz	398.24	65.00
11H053	EX	2	100	Bz	398.24	36.70
11H054	EX	1	1000	Bz	398.24	40.90
11H054	EX	2	1000	Bz	398.24	65.00
11H058	EX	1	1000	Bz	398.24	44.40
11H058	EX	2	1000	Bz	398.24	65.00
11H059	EX	1	1000	Bz	398.24	38.90
11H059	EX	2	1000	Bz	398.24	37.90
11H060	EX	1	1000	Bz	398.24	45.80
11H060	EX	2	1000	Bz	398.24	41.70
11H067	EX	1	1000	Bz	398.24	50.20
11H067	EX	2	1000	Bz	398.24	47.50
11H069	EX	1	1000	Bz	398.24	43.20
11H069	EX	1	100	Bz	398.24	20.10
11H069	EX	2	1000	Bz	398.24	65.00
11H069	EX	2	100	Bz	398.24	19.00
11H073	EX	1	1000	Bz	398.24	45.30
11H073	EX	2	1000	Bz	398.24	45.70
11H075	EX	1	1000	Bz	398.24	23.50
11H075	EX	2	1000	Bz	398.24	35.90
11H079	EX	1	1000	Bz	398.24	65.00
11H079	EX	1	100	Bz	398.24	31.50
11H079	EX	2	1000	Bz	398.24	29.30
11H079	EX	2	100	Bz	398.24	35.50
11H080	EX	1	1000	Bz	398.24	39.00
11H080	EX	2	1000	Bz	398.24	24.80
11H085	EX	1	1000	Bz	398.24	34.50
11H085	EX	2	1000	Bz	398.24	43.70
11H086	EX	1	1000	Bz	398.24	56.90
11H086	EX	2	1000	Bz	398.24	42.70
11H091	EX	1	1000	Bz	398.24	25.10
11H091	EX	2	1000	Bz	398.24	32.00
11H093	EX	1	1000	Bz	398.24	65.00
11H093	EX	1	100	Bz	398.24	36.70
11H093	EX	2	1000	Bz	398.24	54.80
11H093	EX	2	100	Bz	398.24	40.00
11J028	EX	1	1000	Bz	398.24	35.80
11J028	EX	2	1000	Bz	398.24	39.50
11J035	EX	1	1000	Bz	398.24	32.20
11J035	EX	2	1000	Bz	398.24	35.10
11J036	EX	1	1000	Bz	398.24	40.10
11J036	EX	2	1000	Bz	398.24	43.80
11J040	EX	1	1000	Bz	398.24	35.30
11J040	EX	2	1000	Bz	398.24	28.10
11J041	EX	1	1000	Bz	398.24	24.80
11J041	EX	2	1000	Bz	398.24	22.40
11J042	EX	1	1000	Bz	398.24	22.80
11J042	EX	2	1000	Bz	398.24	34.30
11J046	EX	1	1000	Bz	398.24	65.00
11J046	EX	1	100	Bz	398.24	30.90
11J046	EX	2	1000	Bz	398.24	48.70
11J046	EX	2	100	Bz	398.24	27.60
11J047	EX	1	1000	Bz	398.24	15.00
11J047	EX	1	10000	Bz	398.24	23.80
11J047	EX	2	1000	Bz	398.24	23.70
11J047	EX	2	10000	Bz	398.24	20.10
11J048	EX	1	1000	Bz	398.24	24.50
11J048	EX	1	100	Bz	398.24	18.00
11J048	EX	2	1000	Bz	398.24	65.00
11J048	EX	2	100	Bz	398.24	15.00
11J052	EX	1	1000	Bz	398.24	65.00
11J052	EX	1	100	Bz	398.24	33.20
11J052	EX	2	1000	Bz	398.24	65.00
11J052	EX	2	100	Bz	398.24	32.50
11J053	EX	1	1000	Bz	398.24	65.00
11J053	EX	1	100	Bz	398.24	54.70
11J053	EX	2	1000	Bz	398.24	65.00
11J053	EX	2	100	Bz	398.24	53.60
11J054	EX	1	1000	Bz	398.24	24.00
11J054	EX	1	100	Bz	398.24	24.80
11J054	EX	2	1000	Bz	398.24	65.00
11J054	EX	2	100	Bz	398.24	21.20
2F33	BL	1	1000	Fp	396.72	65.00
2F33	BL	1	100	Fp	396.72	38.90
2F33	BL	2	1000	Fp	396.72	65.00
2F33	BL	2	100	Fp	396.72	32.80
2F35	BL	1	1000	Fp	396.72	46.40
2F35	BL	2	1000	Fp	396.72	49.78
2F36	BL	1	1000	Fp	396.72	54.98
2F36	BL	2	1000	Fp	396.72	58.30
2F47	BL	1	1000	Fp	396.72	55.95
2F47	BL	1	100	Fp	396.72	31.90
2F47	BL	2	1000	Fp	396.72	65.00
2F47	BL	2	100	Fp	396.72	22.10
2F51	BL	1	1000	Fp	396.72	65.00
2F51	BL	1	100	Fp	396.72	39.40
2F51	BL	2	1000	Fp	396.72	65.00
2F51	BL	2	100	Fp	396.72	33.60
2F52	BL	1	1000	Fp	396.72	36.84
2F52	BL	2	1000	Fp	396.72	27.20
2F59	BL	1	1000	Fp	396.72	52.21
2F59	BL	1	100	Fp	396.72	28.70
2F59	BL	2	1000	Fp	396.72	65.00
2F59	BL	2	100	Fp	396.72	25.70
2F63	BL	1	1000	Fp	396.72	32.41
2F63	BL	2	1000	Fp	396.72	28.91
2F66	BL	1	1000	Fp	396.72	65.00
2F66	BL	1	100	Fp	396.72	28.10
2F66	BL	2	1000	Fp	396.72	53.36
2F66	BL	2	100	Fp	396.72	32.00
2F67	BL	1	1000	Fp	396.72	65.00
2F67	BL	1	100	Fp	396.72	28.60
2F67	BL	2	1000	Fp	396.72	26.65
2F67	BL	2	100	Fp	396.72	30.10
2F70	BL	1	1000	Fp	396.72	48.63
2F70	BL	2	1000	Fp	396.72	45.23
2F72	BL	1	1000	Fp	396.72	65.00
2F72	BL	1	100	Fp	396.72	32.50
2F72	BL	2	1000	Fp	396.72	65.00
2F72	BL	2	100	Fp	396.72	30.00
2F76	BL	1	1000	Fp	396.72	65.00
2F76	BL	1	100	Fp	396.72	38.50
2F76	BL	2	1000	Fp	396.72	65.00
2F76	BL	2	100	Fp	396.72	43.50
2F77	BL	1	1000	Fp	396.72	53.27
2F77	BL	1	100	Fp	396.72	32.80
2F77	BL	2	1000	Fp	396.72	65.00
2F77	BL	2	100	Fp	396.72	18.00
2F78	BL	1	1000	Fp	396.72	55.92
2F78	BL	2	1000	Fp	396.72	47.37
2F79	BL	1	1000	Fp	396.72	65.00
2F79	BL	1	100	Fp	396.72	na
